Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,Gives_Dividends
KORS,Michael Kors Holdings,Consumer Discretionary,4.111365546556404,2.727199019940971,0.0,3.31,32.38,69.95,23.031228348076542,19.93931829425007,1.4220457699210318,1.8562979903656263,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KORS,No
MCHP,Microchip Technology,Information Technology,4.393213824064446,3.125443880075648,1.7512966,0.66,69.76,99.17,23.68818294467004,20.720754687648522,2.1338727059253584,1.9315214116032138,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCHP,Yes
MU,Micron Technology,Information Technology,3.713572066704308,2.303584593327129,0.0,4.36,22.64,49.89,24.60641172241984,23.252269113868063,1.1604222782467388,1.1052568313867783,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MU,No
MSFT,Microsoft Corp.,Information Technology,4.454463568563388,3.286908235260028,1.8747908,2.97,63.22,96.07,27.259926184004495,24.43876287898896,2.093479632484013,2.3504224224082058,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MSFT,Yes
MAA,Mid-America Apartments,Real Estate,4.458871928370793,2.733067964077498,4.19652,2.86,86.95,110.95,23.025113557248023,20.585706917283744,2.0319708659774878,0.9555114450274363,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MAA,Yes
MHK,Mohawk Industries,Consumer Discretionary,5.55129152782092,2.9997242948235283,0.0,12.48,209.9,286.85,23.71385271849588,21.283106171669317,1.3344173174365,1.355835153635182,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MHK,No
TAP,Molson Coors Brewing Company,Consumer Staples,4.324265097815334,2.926382195419198,2.1533613,9.27,75.79,102.14,23.240709223420904,22.272613984714987,0.8052114060602036,0.8501509293696101,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TAP,Yes
MDLZ,Mondelez International,Consumer Staples,3.7768903314366495,3.0373539482448106,1.9977299,1.91,39.19,47.23,24.910308347990657,22.194590447480497,1.2728067151793154,1.2584609896100056,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MDLZ,Yes
MON,Monsanto Co.,Materials,4.788158187325206,3.114847754444153,1.7938709,5.09,106.97,123.15,24.695006216606334,22.162389811947968,1.5238325283911747,2.192770226986839,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MON,Yes
MNST,Monster Beverage,Consumer Staples,4.142975983633837,3.765145809567386,0.0,1.19,41.02,70.215,24.317939853743265,20.92985552682116,2.718171276453614,2.3570732782781154,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MNST,No
MCO,Moody's Corp,Financials,5.031352535684977,3.3160025355989236,1.114065,1.35,106.48,167.23,24.130775851979898,20.93676301201657,2.391783360328236,4.315352501405889,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCO,Yes
MS,Morgan Stanley,Financials,3.9663217788355247,2.7232671669070703,1.8331805,3.09,40.06,58.05,25.303481225987067,0.0,1.1712070832124966,0.8458682675776092,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MS,Yes
MSI,Motorola Solutions Inc.,Information Technology,4.602566800117977,2.997231149677727,2.0266979,-1.08,77.23,107.78,23.534235958675822,21.211232167180192,1.2835037072035853,2.0554049638515948,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MSI,Yes
MYL,Mylan N.V.,Health Care,3.6951100038645723,2.2353763433005955,0.0,0.93,29.39,47.82,23.800525066870136,21.858949094144823,1.2629662800760577,0.9669838461896731,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MYL,No
NDAQ,"Nasdaq, Inc.",Financials,4.333492687678026,2.932792473780117,1.9671283,4.32,65.98,83.29,23.276166290563875,20.915537725418616,1.4490598191221211,1.1786549963416462,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NDAQ,Yes
NOV,National Oilwell Varco Inc.,Energy,3.5157158351047473,0.0,0.5873715,-6.4,29.9,41.895,23.283596605589338,19.681978617730433,1.2587346453446775,0.6471032420585384,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NOV,Yes
NAVI,Navient,Financials,2.6658383522929006,2.1471001901536506,4.5584044,1.01,11.481,16.97,22.029621387141145,0.0,0.529838468677917,0.7030975114131134,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NAVI,Yes
NTAP,NetApp,Information Technology,4.040416220196545,3.299533727885655,1.3881658,1.81,37.43,64.0599,23.456022368658722,20.79558649945627,1.5408812172370103,1.8656293177945105,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NTAP,Yes
NFLX,Netflix Inc.,Information Technology,5.5258512661635395,5.303702838824375,0.0,1.25,138.26,286.81,25.46650440023756,20.51134408629029,2.3852330808989795,3.459466289786131,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NFLX,No
NWL,Newell Brands,Consumer Discretionary,3.364187556028255,2.372111155642656,3.1228786,1.17,23.85,55.08,23.39315342098352,21.427056178099544,0.824634942643359,0.6981347220709844,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NWL,Yes
NFX,Newfield Exploration Co,Energy,3.3098128198603027,2.647592232065096,0.0,-6.5,24.41,43.74,22.46287604572791,20.613450972055276,1.7410377658372065,1.706564623164823,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NFX,No
NEM,Newmont Mining Corporation,Materials,3.627269972482245,3.3083508312958037,0.8101539,-1.18,31.42,42.04,23.706391453727836,21.134713017394812,1.5491865509473606,1.0331844833456545,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NEM,Yes
NWSA,News Corp. Class A,Consumer Discretionary,2.8124102164264526,3.794814804522605,1.24533,-1.28,12.0,17.29,22.959380566610122,20.336131686995724,0.9368055368841227,0.6151856390902334,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NWSA,Yes
NWS,News Corp. Class B,Consumer Discretionary,2.8243506567983707,3.8073289343134804,1.2269939,-1.28,12.35,17.7,22.97421396597897,20.336131686995724,0.9446144416057739,0.6205764877251099,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NWS,Yes
NEE,NextEra Energy,Utilities,4.985590952989995,3.120159851929043,2.6537917,11.39,124.18,159.64,24.9669090091631,22.922488417056194,1.6276113702167683,1.3217558399823195,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NEE,Yes
NLSN,Nielsen Holdings,Industrials,3.5524868292083815,2.982140320034524,3.6208732,1.39,34.22,45.73,23.31685274202892,21.330855129689372,1.3160917760816053,1.3912819026309295,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NLSN,Yes
NKE,Nike,Consumer Discretionary,4.150882413182359,3.254242968705492,1.2189548,2.51,50.35,68.83,25.39400008438517,22.364589938436556,1.3999490106239234,2.2935443483418965,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NKE,Yes
NI,NiSource Inc.,Utilities,3.157425862551978,3.0238337036648657,3.3780859,1.02,21.93,27.76,22.774380737357493,21.09386341041582,1.174379500189208,1.0367368849500223,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NI,Yes
NBL,Noble Energy Inc,Energy,3.2744997286161976,4.672454932793688,1.4771049,-2.32,22.985,39.6,23.30176340551673,0.0,1.7400528789191942,0.8919980393051105,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NBL,Yes
JWN,Nordstrom,Consumer Discretionary,3.8759812340808804,2.7750856024383683,3.0020285,2.02,37.7924,53.0,22.828924420878185,21.093449131600543,0.5573470162181176,2.312535423847214,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JWN,Yes
NSC,Norfolk Southern Corp.,Industrials,4.92645626585365,3.075005454448499,2.018503,18.73,109.27,157.1499,24.42564247887801,22.27866986109913,1.5795127478900823,1.4085449700547104,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NSC,Yes
NTRS,Northern Trust Corp.,Financials,4.576770711466393,3.0426158594528414,1.6678249,4.92,83.17,108.91,23.854757716113514,0.0,1.6157634638831124,1.235471471385307,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NTRS,Yes
